title,popularity,favorites,studios
Cowboy Bebop,0.0013362731342286363,0.3562386044252649,1635
Cowboy Bebop: Tengoku no Tobira,0.02194828622970535,0.007094118490091323,234
Trigun,0.008819402685909,0.07010517767144119,856
Witch Hunter Robin,0.06641277477116322,0.002814557672555873,1635
Bouken Ou Beet,0.19676621901516672,7.165776252617498e-05,1751
Eyeshield 21,0.047370882608405156,0.008455615978088648,517
Hachimitsu to Clover,0.03283891227366874,0.016748011497089897,688
Hungry Heart: Wild Striker,0.16349301797287366,0.0009673797941033623,981
Initial D Fourth Stage,0.043395470034074964,0.0057087350812519404,27
Monster,0.0038751920892630457,0.24625986289481433,856
Naruto,0.00026725462684572726,0.3435472184845179,1574
One Piece,0.0005345092536914545,0.9999999999999999,1751
Tennis no Oujisama,0.046970000668136565,0.012233572457940873,1796
Ring ni Kakero 1,0.3039019175519476,1.1942960421029163e-05,1751
School Rumble,0.026792276341284157,0.021521214678694552,1458
Sunabouzu,0.05862898376428142,0.0035032683901685545,541
Texhnolyze,0.03240462350504443,0.022651814931885315,856
Trinity Blood,0.04650230507115654,0.0056490202791467945,541
Yakitate!! Japan,0.07713636667334803,0.003781937466659235,1635
Zipang,0.16766887151733814,0.0008240642690510123,1467
Shinseiki Evangelion,0.0014699004476515,0.46794509422995767,512
Shinseiki Evangelion Movie: Shi to Shinsei,0.03340682835571591,0.003228580300484884,510
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",0.005946415447317431,0.1289202767582028,509
Kenpuu Denki Berserk,0.01012226899178192,0.12571160139175297,1010
Koukaku Kidoutai,0.011258101155876261,0.057035597984028276,1166
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0.03183670742299726,0.02570523181286177,1467
Rurouni Kenshin: Meiji Kenkaku Romantan,0.016168904924166498,0.041422167726936146,522
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,0.11321574129752121,0.00038615572027994295,517
Akira,0.0069152134696331925,0.059432152041848124,1780
.hack//Sign,0.047638137235250885,0.005963518236900563,211
Aa! Megami-sama!,0.1098416516335939,0.0010549615038575762,36
Aa! Megami-sama! (TV),0.05408565510790405,0.004669697524622403,36
Tenshi Kinryouku,0.1165564241330928,0.0007444445329108178,589
Kidou Tenshi Angelic Layer,0.10573261174584085,0.0013216876199272274,234
Ai Yori Aoshi,0.07189149462150063,0.0018909687333296175,688
Appleseed (Movie),0.09300461014231308,0.0007603684801388567,374
Arc the Lad,0.19035210797086927,6.369578891215554e-05,211
Avenger,0.1869112046502305,7.961973614019443e-05,211
Beck,0.024219950557894034,0.036724603294664676,856
Blue Gender,0.085488073762277,0.0018113489971894232,36
Chobits,0.016536380036079372,0.0174048743202465,856
Chrno Crusade,0.039653905258234784,0.007838563023002142,541
D.N.Angel,0.0481058328322309,0.005175282849112638,1893
D.C.: Da Capo,0.09210262577670876,0.0007922163745949345,1985
DearS,0.05705886283156277,0.0014809270922076163,365
Rozen Maiden,0.042660519810249216,0.008491444859351735,998
Rozen Maiden: Träumend,0.07402953163626645,0.001958645509048783,998
Azumanga Daiou The Animation,0.021146522349168168,0.0373456372365582,688
Basilisk: Kouga Ninpou Chou,0.04580076167568651,0.0058361266590762515,541
Black Cat,0.03307276007215875,0.007380749540196023,541
Cluster Edge,0.2257633460279281,5.971480210514582e-05,1635
Full Metal Panic!,0.015834836640609338,0.017866668789859628,541
Full Metal Panic? Fumoffu,0.030233179661922894,0.012018599170362349,787
Full Metal Panic! The Second Raid,0.03427540589296452,0.005215092717182734,787
Gakuen Alice,0.07620097547938798,0.006031195012619728,568
Soukyuu no Fafner: Dead Aggressor,0.11602191487940135,0.001098752358734683,1893
Mahou Shoujo Lyrical Nanoha,0.07416315894968932,0.004351218580061625,1316
Mahou Shoujo Lyrical Nanoha A's,0.0997527894701677,0.0040805114771849645,1316
Shuffle!,0.03170308010957439,0.006035175999426737,1963
Kidou Senshi Gundam,0.058662390592637136,0.010796436220610365,1635
Kidou Senshi Gundam: Dai 08 MS Shoutai,0.08281552749381973,0.00485282291774485,1635
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,0.09895102558963052,0.004892632785814947,1635
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,0.20561902852943142,2.3885920842058325e-05,1635
Kidou Senshi Gundam 0083: Stardust Memory,0.11729137435691855,0.0011226382795767413,1635
Kidou Senshi Zeta Gundam,0.08622302398610275,0.010828284115066441,1635
Kidou Senshi Gundam ZZ,0.11799291775238858,0.0008877600579631678,1635
Kidou Senshi Gundam: Gyakushuu no Char,0.1089730740963453,0.002452287873117988,1635
Kidou Senshi Gundam F91,0.13957372887018107,0.0003622697994378846,1635
Kidou Senshi Victory Gundam,0.15039754125743304,0.0006807487439986623,1635
Shin Kidou Senki Gundam Wing,0.053584552682568315,0.0098688662945771,1635
Shin Kidou Senki Gundam Wing: Endless Waltz,0.11742500167034141,0.0007205586120687595,1635
Kidou Shinseiki Gundam X,0.13479655241531371,0.0009793227545243915,1635
Kidou Senshi Gundam SEED,0.04967595376494956,0.014916757565865425,1635
Kidou Senshi Gundam SEED Destiny,0.07192490144985635,0.004613963709324266,1635
Turn A Gundam,0.11261441838711832,0.005020024363639258,1635
Kidou Butouden G Gundam,0.09460813790338744,0.004538324959991082,1635
Last Exile,0.04910803768290238,0.007794772168125034,541
Mai-HiME,0.06955301663660052,0.004594058775289218,1635
Mai-Otome,0.11458542126010557,0.0012500298574010524,1635
Shin Shirayuki-hime Densetsu Prétear,0.1001536714104363,0.0018631018256805496,589
Air,0.030066145520144315,0.011007428521381878,787
Aishiteruze Baby★★,0.07576668671076368,0.0022452765591534827,1679
Akazukin Chacha,0.19132090599318502,0.00044587052238508876,517
Ayashi no Ceres,0.10232511525355782,0.0019825314298908413,1574
Boys Be...,0.16659985300995525,0.00019506835354347632,589
Hana yori Dango,0.10172379234315494,0.0033480099046951754,1751
Ou Dorobou Jing,0.13526424801229373,0.0008479501898930707,1467
Ou Dorobou Jing in Seventh Heaven,0.21283490345426606,0.00010748664378926247,1467
Bakuretsu Tenshi,0.09424066279147457,0.0009633988072963526,541
