title,popularity,favorites,studios
Cowboy Bebop,41,89485,Sunrise
Cowboy Bebop: Tengoku no Tobira,658,1782,Bones
Trigun,265,17610,Madhouse
Witch Hunter Robin,1989,707,Sunrise
Bouken Ou Beet,5891,18,Toei Animation
Eyeshield 21,1419,2124,Gallop
Hachimitsu to Clover,984,4207,J.C.Staff
Hungry Heart: Wild Striker,4895,243,Nippon Animation
Initial D Fourth Stage,1300,1434,A.C.G.T.
Monster,117,61859,Madhouse
Naruto,9,86297,Studio Pierrot
One Piece,17,251194,Toei Animation
Tennis no Oujisama,1407,3073,Trans Arts
Ring ni Kakero 1,9098,3,Toei Animation
School Rumble,803,5406,Studio Comet
Sunabouzu,1756,880,Gonzo
Texhnolyze,971,5690,Madhouse
Trinity Blood,1393,1419,Gonzo
Yakitate!! Japan,2310,950,Sunrise
Zipang,5020,207,Studio Deen
Shinseiki Evangelion,45,117545,Gainax|Tatsunoko Production
Shinseiki Evangelion Movie: Shi to Shinsei,1001,811,Gainax|Production I.G|Tatsunoko Production
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",179,32384,Gainax|Production I.G
Kenpuu Denki Berserk,304,31578,OLM
Koukaku Kidoutai,338,14327,Production I.G
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,954,6457,Studio Deen
Rurouni Kenshin: Meiji Kenkaku Romantan,485,10405,Gallop|Studio Deen
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,3390,97,Gallop
Akira,208,14929,Tokyo Movie Shinsha
.hack//Sign,1427,1498,Bee Train
Aa! Megami-sama!,3289,265,AIC
Aa! Megami-sama! (TV),1620,1173,AIC
Tenshi Kinryouku,3490,187,HAL Film Maker
Kidou Tenshi Angelic Layer,3166,332,Bones
Ai Yori Aoshi,2153,475,J.C.Staff
Appleseed (Movie),2785,191,Digital Frontier
Arc the Lad,5699,16,Bee Train
Avenger,5596,20,Bee Train
Beck,726,9225,Madhouse
Blue Gender,2560,455,AIC
Chobits,496,4372,Madhouse
Chrno Crusade,1188,1969,Gonzo
D.N.Angel,1441,1300,Xebec
D.C.: Da Capo,2758,199,feel.|Zexcs
DearS,1709,372,Daume
Rozen Maiden,1278,2133,Nomad
Rozen Maiden: Träumend,2217,492,Nomad
Azumanga Daiou The Animation,634,9381,J.C.Staff
Basilisk: Kouga Ninpou Chou,1372,1466,Gonzo
Black Cat,991,1854,Gonzo
Cluster Edge,6759,15,Sunrise
Full Metal Panic!,475,4488,Gonzo
Full Metal Panic? Fumoffu,906,3019,Kyoto Animation
Full Metal Panic! The Second Raid,1027,1310,Kyoto Animation
Gakuen Alice,2282,1515,Group TAC
Soukyuu no Fafner: Dead Aggressor,3474,276,Xebec
Mahou Shoujo Lyrical Nanoha,2221,1093,Seven Arcs
Mahou Shoujo Lyrical Nanoha A's,2987,1025,Seven Arcs
Shuffle!,950,1516,asread.
Kidou Senshi Gundam,1757,2712,Sunrise
Kidou Senshi Gundam: Dai 08 MS Shoutai,2480,1219,Sunrise
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,2963,1229,Sunrise
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6156,6,Sunrise
Kidou Senshi Gundam 0083: Stardust Memory,3512,282,Sunrise
Kidou Senshi Zeta Gundam,2582,2720,Sunrise
